player_id,first_name,last_name,number,team,position
36,David,De Gea,1,Manchester United,Goalkeeper
37,Shinji,Kagawa,26,Borussia Dortmund,Midfielder
38,Wayne,Rooney,10,Manchester United,Forward
39,Robin,Van Persie,20,Manchester United,Forward
40,Ashley,Young,18,Manchester United,Midfielder
41,Angel,Di Maria,7,Manchester United,Midfielder
42,Danny,Welbeck,19,Arsenal,Forward
43,Javier,Hernandez,14,Real Madrid,Forward
44,Marouane,Fellani,31,Manchester United,Midfielder
45,Juan,Mata,8,Manchester United,Midfielder
46,Johnny,Evans,6,Manchester United,Defender
47,Phil,Jones,16,Manchester United,Defender
48,Adnan,Januzaj,44,Manchester United,Midfielder
49,Manuel,Neuer,1,Bayern Munich,Goalkeeper
50,Jerome,Boateng,17,Bayern Munich,Defender
51,N/A,Dante,4,Bayern Munich,Defender
52,Mehdi,Benetia,5,Bayern Munich,Defender
53,Phillip,Lahm,21,Bayern Munich,Defender
54,Bastian,Schweinsteiger,31,Bayern Munich,Midfielder
55,Thomas,Mueller,25,Bayern Munich,Midfielder
56,Mario,Gotze,19,Bayern Munich,Midfielder
57,Claudio,Pizarro,14,Bayern Munich,Forward
58,Robert,Lewandowski,9,Bayern Munich,Forward
59,Julian,Green,31,Bayern Munich,Forward
60,Radamel,Falcao,9,Manchester United,Forward
