last_name,Goals,Assists,Yel,Red,ShotsPerGame,PassPercent
Ribery,10,9,2,0,2.7,83.8
Thiago,2,4,1,0,1.3,91.6
Gotze,10,7,0,0,1.9,87.9
Robben,11,6,0,0,2.7,81.8
Alaba,2,6,0,0,1.7,89.3
Mandzukic,18,4,5,0,2.5,72.7
Martinez,0,0,3,0,0.9,89.5
Kroos,2,4,6,0,1.8,91.9
Dante,2,1,4,0,0.7,91.4
Muller,13,10,2,0,2.3,78.6
Starke,0,0,0,0,0,82.7
Boateng,1,1,6,1,0.5,87.3
Schweinsteiger,4,4,4,0,1.3,89.9
Van Buyten,1,0,3,0,0.5,91.5
Lahm,1,4,2,0,0.6,91.7
Shaqiri,6,2,0,0,1.7,84.7
Rafinha,0,7,4,1,0.4,90
Neuer,0,0,0,0,0,88.2
Raeder,0,1,0,0,0,69.8
Pizarro,10,2,0,0,1.4,80.9
