last_name,Goals,Assists,Yel,Red,ShotsPerGame,PassPercent
Fabianski,0,0,0,0,0,62.9
Ramsey,10,7,3,0,2.2,84.4
Giroud,16,8,4,0,3.1,68.9
Cazorla,4,8,2,0,2.4,86.3
Koscielny,2,0,1,1,0.4,93.5
Ozil,5,9,0,0,1.2,88
Sagna,1,2,6,0,0.5,85.4
Mertesacker,2,0,3,0,0.5,93
Arteta,2,0,3,1,0.4,92.1
Walcott,5,4,1,0,2.5,81.4
Szczesny,0,0,2,0,0,62.4
Gibbs,0,1,2,1,0.3,79.5
Wilshere,3,3,6,0,0.9,86.1
Podolski,8,2,0,0,2.1,88.8
Gnabry,1,0,0,0,1.3,85.3
Vermaelen,0,1,0,0,0.3,90.8
Oxlade-Chamberlain,2,2,0,0,1.3,80.4
Bendtner,2,0,0,0,0.9,81.2
Ibrahimovic,26,11,6,0,5,76.4
Silva,3,0,1,0,0.9,92.7
Jallet,0,0,1,0,0.6,89
Digne,0,1,2,0,0.7,90.9
Motta,3,2,7,1,0.5,92.5
Douchez,0,0,0,0,0,92.3
Maxwell,3,2,2,0,0.3,89.1
Verratti,0,4,10,0,0.4,91.4
Lucas,4,10,2,0,1.7,86.6
Cavani,16,2,2,0,3.2,85.5
Van der Wiel,0,4,2,0,0.2,89.3
Matuidi,4,2,4,0,0.8,92
Alex,2,0,6,0,0.5,93.8
Marquinhos,1,0,2,0,0.4,91
Sirigu,0,0,0,0,0,71.5
Adrien Rabiot,2,0,1,0,1,90.3
Lavezzi,9,0,2,0,1.5,79.6
Cabaye,0,2,2,0,1.4,91.4
Pastore,1,2,2,0,1.2,84.5
