last_name,Goals,Assists,Yel,Red,ShotsPerGame,PassPercent
Messi,28,11,2,0,5.2,85
Sanchez,19,10,3,0,1.9,79.8
Pedro,15,8,3,0,1.9,84.6
Neymar,9,8,6,0,2.6,84.6
Fabregas,8,13,4,0,1.4,87
Iniesta,3,7,0,0,1.2,90.9
Adriano,3,1,8,0,1.3,89.6
Xavi,3,2,0,0,1.1,93.1
Pique,2,0,5,0,0.8,90.2
Alves,2,3,6,0,1.2,87.4
Puyol,1,0,0,0,0.2,92.3
Busquets,1,1,12,0,0.3,92.7
Mascherano,0,0,9,0,0.1,88.8
Alba,0,2,5,1,0.3,89.4
Ronaldo,31,9,4,1,7.2,80.2
Bale,15,12,3,0,3.3,76.3
Di Maria,4,17,6,0,1.9,82.1
Pepe,4,2,9,0,0.6,85.7
Benzema,17,9,2,0,2.9,81.6
Ramos,4,1,10,2,1.3,88.7
Isco,8,6,1,0,1.4,88.1
Modric,1,6,6,0,1.1,89.9
Marcelo,1,6,3,0,1,84.9
Casillas,0,0,0,0,0,81.3
Carvajal,2,2,5,0,0.2,86.4
Alonso,0,1,5,0,0.3,88
Hazard,14,7,2,0,2.1,83.4
Eto'o,9,2,1,0,2.8,76.1
Oscar,8,2,4,0,2.2,83.3
Schurrle,8,2,1,0,1.9,82.6
Lampard,6,3,4,0,2.2,82.4
Torres,5,5,3,1,2.2,66.7
Ivanovic,3,1,8,0,1.1,81.8
Terry,2,1,3,0,0.8,90.2
Cahill,1,1,2,0,0.6,88.3
Ramires,1,2,8,1,1.7,83.8
